STREET ADDRESS,WALK SEQ.,CITY CODE
LYONS CITY 1 BUNDLE 1 ########,2,1
216 E. BROAD ST.,4,1
201 W. LIBERTY APT.2,12,1
301 W. LIBERTY AVE.,14,1
309 W. LIBERTY AVE.,16,1
107 PECAN PLACE,452,1
419 S. STATE ST.,282,1
201 N. GWINNETTE,1044,2
200 BELLVIEW HGTS.,18,1
400 BELLVIEW HGTS.,20,1
404 BELLVIEW HGTS.,22,1
406 BELLVIEW HGTS.,24,1
143 BELLVIEW HGTS.,26,1
187 BELLVIEW HGTS.,28,1
186 BELLVIEW HGTS.,30,1
185 BELLVIEW HGTS.,32,1
183 BELLVIEW HGTS.,34,1
181 BELLVIEW HGTS.,36,1
159 BELLVIEW HGTS.,38,1
154 CYPRESS ST.,40,1
152 CYPRESS ST.,42,1
150 CYPRESS ST.,64,1
148 CYPRESS ST.,46,1
146 CYPRESS ST.,48,1
144 CYPRESS ST.,50,1
156 CYPRESS ST.,52,1
158 CYPRESS ST.,54,1
162 CYPRESS ST.,56,1
160 CYPRESS ST.,54,1
142 CYPRESS ST.,60,1
140 CYPRESS ST.,62,1
138 CYPRESS ST.,34,1
136 CYPRESS ST.,66,1
164 CYPRESS ST.,68,1
166 CYPRESS ST.,70,1
170 CYPRESS ST.,72,1
168 CYPRESS ST.,74,1
134 CYPRESS ST.,76,1
132 CYPRESS ST.,78,1
129 CYPRESS ST.,80,1
127 CYPRESS APT.2,82,1
125 CYPRESS ST.,84,1
700 W. LIBERTY AVE.,86,1
600 W. LIBERTY AVE.,90,1
500 S. VICTORY DR.,92,1
502 S. VICTORY DR.,94,1
504 S. VICTORY DR.,96,1
508 S. VICTORY DR.,98,1
510 S. VICTORY DR.,100,1
512 S. VICTORY DR.,102,1
516 S. VICTORY DR.,104,1
518 S. VICTORY DR.,106,1
520 S. VICTORY DR.,108,1
522 S. VICTORY DR.,110,1
517 S. VICTORY DR.,112,1
515 S. VICTORY DR.,114,1
513 S. VICTORY DR.,116,1
511 S. VICTORY DR.,64,1
509 S. VICTORY DR.,120,1
505 S. VICTORY DR.,122,1
503 S. VICTORY DR.,124,1
309 S. VICTORY DR.,126,1
307 S. VICTORY DR.,128,1
301 S. VICTORY DR.,130,1
400 W. GRADY AVE.,132,1
301 S GWINNETT ST.,134,1
307 S. GWINNETT ST.,136,1
405 S. GWINNETT ST.,138,1
308 W. STEWART AVE.,140,1
214 W. STEWART AVE.,142,1
210 W. STEWART AVE.,144,1
200 W. STEWART AVE.,146,1
320 S. WASHINGTON ST.,80,1
201 W. STEWART AVE.,148,1
207 W. STEWART AVE.,150,1
219 W. STEWART AVE.,154,1
310 S. JEFFERSON ST.,156,1
307 W. STEWART AVE.,160,1
309 W. STEWART AVE.,162,1
306 W. GRADY AVE.,164,1
210 W. GRADY AVE.,166,1
216 W. GRADY AVE.,168,1
106 W. GRADY AVE.,170,1
104 W. GRADY AVE.,172,1
206 S. WASHINGTON ST.,174,1
316 S. WASHINGTON ST.,176,1
402 S. WASHINGTON ST.,178,1
404 S. WASHINGTON ST.,180,1
408 S. WASHINGTON ST.,182,1
207 W. GORDON ST.,184,1
211 W. GORDON ST.,186,1
410 S. JEFFERSON ST.,188,1
300 W. GORDON AVE.,190,1
