POSTAL PATRON,PO BOX NO,LYONS  GA   30436,OPEN,OPEN,CITY CODE,LABEL STOP,SELECT CODE,WALK SEQ.,TAG
END PO SEC A,END PO A,,###,#####AA,LSA,,AA,2,x
,2,,,AB,LSA,,AB,,
,3,,,,LSA,,AB,,
,4,,,,LS1,X,AB,,
,5,,,,LS1,X,AB,,
,6,,,,LSA,,AB,,
,7,,,,LS1,X,AB,,
,8,,,,LSA,X,AB,7,x
,11,,,,LSA,X,AB,10,x
,12,,,,LSA,,AB,,
,13,,,,LSA,X,AB,,
,14,,,,LSA,X,AB,,
,21,,,,LS1,X,AB,,
,22,,,,lsb,X,AB,,
,23,,,,LSA,X,AB,,
,24,,,,LS1,X,AB,,
,25,,,,LSA,X,AB,,
,26,,,,LSA,X,AB,13,x
,27,,,,LSA,,AB,,
,28,,,,LSA,,AB,14,x
,31,,,,LS1,X,AB,,
,32,,,,LSA,,AB,15,X
,41,,,,LS1,X,AB,,
,42,,,,LSA,,AB,17,X
,43,,,,LSA,,AB,20,x
,,,,,,,,,
,,,,,,,,,
,46,,,,LSA,,AB,194,
,49,,,,LSA,,AB,30,X
,51,,,,LSA,,AB,35,X
,52,,,,LSA,,AB,188,
,53,,,,LSA,,AB,40,X
,54,,,,LSA,,AB,45,X
,55,,,,LSA,,AB,50,X
,48,,,,LSA,,AB,25,X
,62,,,,LSA,,AB,178,
,63,,,,LSA,,AB,55,X
,64,,,,LSA,,AB,60,X
,68,,,,LSA,,AB,70,X
,71,,,,LSA,,AB,170,
,81,,,,LSA,,AB,168,
,82,,,,LSA,,AB,166,
,1239,,,,LSF,,,1431,X
,84,,,,LSA,,AB,162,
,85,,,,LSA,,AB,85,X
,86,,,,LSA,,AB,90,X
,87,,,,LSA,,AB,95,X
,88,,,,LSA,,AB,154,
,89,,,,LSA,,AB,100,X
,91,,,,LSA,,AB,150,x
,92,,,,LSA,,AB,105,X
,93,,,,LSA,,AB,146,
,94,,,,LSA,,AB,144,
,95,,,,LSA,,AB,142,
,101,,,,LSA,,AB,108,X
,102,,,,LSA,,AB,110,X
,103,,,,LSA,,AB,115,X
,104,,,,LSA,,AB,120,X
,105,,,,LSA,,AB,125,X
,106,,,,LSA,,AB,130,
,107,,,,LSA,,AB,128,
,111,,,,LSA,,AB,135,X
,112,,,,LSA,,AB,124,
,121,,,,LSA,,AB,122,
,122,,,,LSA,,AB,140,X
,123,,,,LSA,,AB,145,X
,124,,,,LSA,,AB,150,X
,125,,,,LSA,,AB,155,X
,126,,,,LSA,,AB,112,
,128,,,,LSA,,AB,160,X
,131,,,,LSA,,AB,108,
,132,,,,LSA,,AB,106,
,133,,,,LSA,,AB,104,
,134,,,,LSA,,AB,165,X
,135,,,,LSA,,AB,170,X
,141,,,,LSA,,AB,175,X
,145,,,,LSA,,AB,180,X
,146,,,,LSA,,AB,185,X
,147,,,,LSA,,AB,190,X
,148,,,,LSA,,AB,90,
,149,,,,LSA,,AB,195,X
,161,,,,LSA,,AB,86,
,162,,,,LSA,,AB,84,
,163,,,,LSA,,AB,82,
,164,,,,LSA,,AB,80,
,165,,,,LSA,,AB,78,
,166,,,,LSA,,AB,205,X
,167,,,,LSA,,AB,210,X
,169,,,,LSA,,AB,215,X
,171,,,,LSA,,AB,220,X
,172,,,,LSA,,AB,68,
,173,,,,LSA,,AB,225,X
,174,,,,LSA,,AB,230,X
,175,,,,LSA,,AB,62,
,181,,,,LSA,,AB,60,
,182,,,,LSA,,AB,58,x
,183,,,,LSA,,AB,235,X
,184,,,,LSA,,AB,240,X
