ADDRESS,SORT CODE,CITY RTE
END SOPERTON CITY 1 ##########,2,1
502 N. 2ND STREET,12,1
509 N. 2ND STREET,6,1
411 N. 2ND STREET,4,1
405 N. 2ND STREET,10,1
318 N. 2ND STREET,14,1
318 N. 3RD STREET,20,1
317 N. 3RD STREET,24,1
403 N. 3RD STREET,30,1
405 N. 3RD STREET,28,1
411 N. 3RD STREET,32,1
503 N. 3RD STREET,40,1
506 N. 3RD STREET,38,1
507 N. 3RD STREET,36,1
513 N. 3RD STREET,30,1
601 N. 3RD STREET,46,1
115 ARCH STREET,44,1
107 ARCH STREET,42,1
511 N. 2ND STREET,8,1
207 ARCH STREET,40,1
208 ARCH STREET,50,1
211 ARCH ST. APT#A-1,52,1
211 ARCH ST. APT#A-2,54,1
211 ARCH ST. APT#A-3,56,1
211 ARCH ST. APT#A-4,58,1
211 ARCH ST. APT#A-5,60,1
211 ARCH ST. APT#A-6,62,1
211 ARCH ST. APT#A-7,64,1
211 ARCH ST. APT#A-8,66,1
211 ARCH ST. APT#B-1,68,1
211 ARCH ST. APT#B-2,70,1
211 ARCH ST. APT#B-3,72,1
211 ARCH ST. APT#B-4,74,1
211 ARCH ST. APT#B-5,76,1
211 ARCH ST. APT#B-6,78,1
211 ARCH ST. APT#B-7,80,1
211 ARCH ST. APT#B-8,82,1
211 ARCH ST. APT#C-1,84,1
211 ARCH ST. APT#C-2,86,1
211 ARCH ST. APT#C-3,88,1
211 ARCH ST. APT#C-4,90,1
211 ARCH ST. APT#C-5,92,1
211 ARCH ST. APT#C-6,94,1
211 ARCH ST. APT#D-1,96,1
211 ARCH ST. APT#D-2,98,1
211 ARCH ST. APT#D-3,100,1
211 ARCH ST. APT#D-4,102,1
211 ARCH ST. APT#D-5,104,1
211 ARCH ST. APT#D-6,106,1
211 ARCH ST. APT#E-1,108,1
211 ARCH ST. APT#E-2,110,1
211 ARCH ST. APT#E-3,112,1
211 ARCH ST. APT#E-4,114,1
211 ARCH ST. APT#F-1,116,1
211 ARCH ST. APT#F-2,118,1
211 ARCH ST. APT#F-3,120,1
211 ARCH ST. APT#F-4,122,1
304 COLLEGE ST.,124,1
806 METTER RD.,118,1
809 N. 2ND ST.,134,1
811 N. 2ND ST.,122,1
812 N. 2ND ST.,124,1
516 METTER RD.,126,1
557 JENNINGS LANE,142,1
555 JENNINGS LANE,144,1
555-A JENNINGS LANE,146,1
102 FOREST AVE.,148,1
104 FOREST AVE.,150,1
103 MEADOWOOD LANE,152,1
105 MEADOWOOD LANE,154,1
107 MEADOWOOD LANE,156,1
109 MEADOWOOD LANE,158,1
111 MEADOWOOD LANE,160,1
113 MEADOWOOD LANE,162,1
116 MEADOWOOD LANE,164,1
114 MEADOWOOD LANE,166,1
110 MEADOWOOD LANE,168,1
108 MEADOWOOD LANE,170,1
106 MEADOWOOD LANE,172,1
104 MEADOWOOD LANE,174,1
204 FOREST AVE.,176,1
206 FOREST AVE.,178,1
208 FOREST AVE.,180,1
201 CARDINAL DR.,182,1
301 CARDINAL DR.,184,1
210 FOREST AVE.,186,1
309 FOREST AVE.,190,1
219 FOREST AVE.,192,1
215 FOREST AVE.,194,1
213 FOREST AVE.,196,1
209 FOREST AVE.,198,1
207 FOREST AVE.,200,1
205 FOREST AVE.,202,1
203 FOREST AVE.,204,1
105 SUMMER PLACE,206,1
103 SUMMER PLACE,208,1
101 FOREST AVE.,212,1
547 JENNINGS LANE,214,1
606 BLACK ST.,216,1
601 BLACK ST.,222,1
604 BLACK ST.,218,1
602 BLACK ST.,220,1
410 METTER RD.,224,1
515 SUMMER LANE,244,1
517 SUMMER LANE,242,1
519 SUMMER LANE,240,1
521 SUMMER LANE,238,1
523 SUMMER LANE,236,1
525 SUMMER LANE,234,1
527 SUMMER LANE,232,1
529 SUMMER LANE,230,1
524 SUMMER LANE,228,1
522 SUMMER LANE,226,1
601 W. LOUISIANA AVE.,364,1
605 W. LOUISIANA AVE.,366,1
609 W. LOUISIANA AVE.,368,1
701 W. LOUISIANA AVE.,370,1
705 W. LOUISIANA AVE.,372,1
709 LOUISIANA AVE.,374,1
711 W. LOUISIANA AVE.,376,1
708 W. LOUISIANA AVE.,394,1
323 SARABELL AVE.,410,1
321 SARABELL AVE.,412,1
324 SARABELL AVE.,398,1
322 SARABELL AVE.,400,1
320 SARABELL AVE.,402,1
318 SARABELL AVE.,404,1
316 SARABELL AVE.,406,1
312 SARABELL AVE.,408,1
712 SARABELL AVE.,416,1
710 SARABELL AVE.,418,1
708 SARABELL AVE.,420,1
706 SARABELL AVE.,422,1
705 SARABELL AVE.,428,1
704 SARABELL AVE.,424,1
702 SARABELL AVE.,426,1
214 NORMAN ST.,454,1
301 SARABELL AVE.,432,1
302 NORMAN ST.,452,1
303 NORMAN ST.,434,1
305 NORMAN ST.,436,1
307 NORMAN ST.,438,1
306 NORMAN ST.,450,1
308 NORMAN ST.,448,1
309 NORMAN ST.,440,1
702 W. LOUISIANA AVE.,396,1
608 W. LOUISIANA AVE.,442,1
606 W. LOUISIANA AVE.,444,1
602 W. LOUISIANA AVE.,446,1
807 W. LOUISIANA AVE.,378,1
802 W. LOUISIANA AVE.,392,1
806 W. LOUISIANA AVE.,390,1
808 W. LOUISIANA AVE.,388,1
810 W. LOUISIANA AVE.,386,1
407 EVANS ST.,380,1
409 EVANS ST.,382,1
411 EVANS ST.,384,1
201 NORMAN ST.,456,1
202 NORMAN ST.,458,1
705 WOMMACK AVE.,460,1
707 WOMMACK AVE.,462,1
704 WOMMACK AVE.,474,1
706 WOMMACK AVE.,470,1
710 WOMMACK AVE.,468,1
714 WOMMACK AVE.,466,1
709 WOMMACK AVE.,464,1
619 WOMMACK AVE.,486,1
615 WOMMACK AVE.,484,1
613 WOMMACK AVE.,482,1
611 WOMMACK AVE.,478,1
611-A WOMMACK AVE.,480,1
609 WOMMACK AVE.,476,1
612 W. MAIN ST.,506,1
"610 W, MAIN ST.",508,1
606 W. MAIN ST.,510,1
602 W. MAIN ST.,512,1
517 GEORGIA AVE.,576,1
601 W. GEORGIA AVE.,356,1
603 W. GEORGIA AVE.,358,1
614 W. MAIN ST.,502,1
702 W. MAIN ST.,504,1
708 W. MAIN ST.,500,1
710 W. MAIN ST.,498,1
712 W. MAIN ST.,496,1
718 W. MAIN ST.,494,1
802 W. MAIN ST.,492,1
804 W. MAIN ST.,490,1
103 CARTER ST.,518,1
105 CARTER ST.,520,1
203 CARTER ST.,524,1
205 CARTER ST.,526,1
706 MISSISSIPPI AVE.,384,1
708 MISSISSIPPI AVE.,386,1
303 CARTER ST.,532,1
305 CARTER ST.,534,1
307 CARTER ST.,536,1
309 CARTER ST.,538,1
418 CARTER ST.,540,1
416 CARTER ST.,542,1
410 CARTER ST.,544,1
408 CARTER ST.,546,1
404 CARTER ST.,548,1
402 CARTER ST.,550,1
306 CARTER ST.,552,1
302 CARTER ST.,554,1
206 CARTER ST.,556,1
204 CARTER ST.,558,1
202 CARTER ST.,560,1
710 GEORGIA AVE.,562,1
706 GEORGIA AVE.,564,1
709 W. GEORGIA AVE.,516,1
704 GEORGIA AVE.,566,1
705 GEORGIA AVE.,514,1
618 GEORGIA AVE.,568,1
616 W. GEORGIA AVE.,574,1
601 NEW ST.,578,1
303 NEW ST.,604,1
602 ALABAMA AVE.,602,1
603 ALABAMA AVE.,580,1
605 ALABAMA AVE.,582,1
607 ALABAMA AVE.,584,1
609 ALABAMA AVE.,586,1
610 W. ALABAMA AVE.,596,1
612 ALABAMA AVE.,594,1
614 ALABAMA AVE.,592,1
613 ALABAMA AVE.,588,1
606 ALABAMA AVE.,598,1
604 ALABAMA AVE.,600,1
309 NEW ST.,610,1
603 W. MISSISSIPPI AVE.,626,1
608 W. MISSISSIPPI AVE.,662,1
601 W. MISSISSIPPI AVE.,624,1
602 W. MISSISSIPPI AVE.,664,1
512 W. MISSISSIPPI AVE.,666,1
509 W. MISSISSIPPI AVE.,668,1
513 W. MISSISSIPPI AVE.,670,1
310 NEW ST.,614,1
308 NEW ST.,616,1
311 NEW ST.,608,1
305 NEW ST.,606,1
306 NEW ST.,618,1
304 NEW ST.,620,1
302 NEW ST.,622,1
607 W. MISSISSIPPI AVE.,628,1
611 W. MISSISSIPPI AVE.,634,1
104 MISSISSIPPI COURT,640,1
106 MISSISSIPPI COURT,642,1
701 W. MISSISSIPPI AVE.,644,1
624 W. MISSISSIPPI AVE.,646,1
622 W. MISSISSIPPI AVE.,648,1
620 W. MISSISSIPPI AVE.,650,1
618 W. MISSISSIPPI AVE.,652,1
616 W. MISSISSIPPI AVE.,654,1
614 W. MISSISSIPPI AVE.,656,1
612 W. MISSISSIPPI AVE.,658,1
610 W. MISSISSIPPI AVE.,660,1
401 NEW ST.,712,1
403 NEW ST.,672,1
407 NEW ST.,674,1
412 NEW ST.,520,1
411 NEW ST.,678,1
501 NEW ST.,680,2
410 NEW ST.,708,1
502 NEW ST.,706,1
504 NEW ST.,704,1
505 NEW ST.,682,1
508 NEW ST.,702,1
509 NEW ST.,684,1
510 NEW ST.,700,1
111 NEW ST.,686,1
512 NEW ST.,698,1
513 NEW ST.,688,1
515 NEW ST.,690,1
517 NEW ST.,692,1
516 NEW ST.,694,1
514 NEW ST.,696,1
425 OAK ST.,724,1
103 OAK ST.,726,1
104 OAK ST.,728,1
107 OAK ST.,730,1
103 IVEY ST.,734,1
106 IVEY ST.,736,1
108 IVEY ST.,738,1
105 IVEY ST.,740,1
109 IVEY ST.,742,1
202 OAK ST.,746,1
309 BERRY ST.,752,1
301 BERRY ST.,754,1
304 BERRY ST.,758,1
109 MAPLE ST.,762,1
108 MAPLE ST.,760,1
306 BERRY ST.,764,1
310 BERRY ST.,768,1
403 BERRY ST.,770,1
314 CLOVER ST.,590,1
105 CLOVER ST.,776,1
102 CLOVER ST.,778,1
902 BARWICK AVE.,782,1
811 BARWICK AVE.,784,1
804 BARWICK AVE.,786,1
802 BARWICK AVE.,788,1
805 BARWICK AVE.,790,1
706 BARWICK AVE.,792,1
703 BARWICK AVE.,794,1
609 BARWICK AVE.,796,1
610 BARWICK AVE.,798,1
604 BARWICK AVE.,800,1
521 BARWICK AVE.,802,1
517 BARWICK AVE.,806,1
511 BARWICK AVE.,620,1
509 BARWICK AVE.,808,1
503 BARWICK AVE.,812,1
407 BARWICK AVE.,814,1
405 BARWICK AVE.,816,1
403 BARWICK AVE.,818,1
813 EASTMAN RD.,834,1
809 EASTMAN RD.,832,1
811 EASTMAN RD.,830,1
501 BARWICK AVE.,820,1
505 BARWICK AVE.,640,1
501 OUTLAW AVE.,822,1
504 OUTLAW AVE.,824,1
511 OUTLAW AVE.,826,1
513 OUTLAW AVE.,648,1
603 NEW ST.,714,1
702 NEW ST.,722,1
706 NEW ST.,720,1
708 NEW ST.,718,1
523.5 CANADY AVE.,854,1
523 CANADY AVE.,852,1
521 CANADY AVE.,850,1
519 CANADY AVE.,848,1
513 CANADY AVE.,846,1
510 CANADY AVE.,858,1
511 CANADY AVE.,844,1
509 CANADY AVE.,842,1
508 CANADY AVE.,860,1
504 CANADY AVE.,862,1
505 CANADY AVE.,840,1
409 CANADY AVE.,838,1
410 CANADY AVE.,864,1
408 CANADY AVE.,866,1
404 CANADY AVE.,868,1
406 CANADY AVE.,870,1
402 CANADY AVE.,872,1
325 CANADY AVE.,874,1
814 EASTMAN RD.,876,1
323 CANADY AVE.,894,1
319 CANADY AVE.,892,1
316 CANADY AVE.,880,1
312 CANADY AVE.,882,1
315 CANADY AVE.,890,1
309 CANADY AVE.,888,1
305 CANADY AVE.,886,1
308 CANADY AVE.,884,1
901 WELLS ST.,900,1
903 WELLS ST.,902,1
911 WELLS ST.,878,1
907 WELLS ST.,904,1
905 WELLS ST.,896,1
909 WELLS ST.,898,1
913 WELLS ST.,906,1
910 WELLS ST.,908,1
908 WELLS ST.,910,1
906 WELLS ST.,912,1
902 WELLS ST.,914,1
210 CANADY AVE.,924,1
806 WELLS ST.,916,1
807 WELLS ST.,922,1
805 WELLS ST.,920,1
803 WELLS ST.,918,1
107 CANADY AVE.,936,1
102 OUTLAW AVE.,950,1
