OPEN,PO BOX NO,OPEN,OPEN,OPEN,CITY CODE,LABEL STOP,OPEN,SORT CODE,TAG
,1,,,,VSA,,AB,4,
,3,,,,VSA,,AB,8,
,4,,,,VSA,,AB,10,x
,5,,,,VSA,,AB,12,
,7,,,,VSA,,AB,16,
,8,,,,VSA,,AB,18,
,9,,,,VSA,,AB,20,
,12,,,,VSA,,AB,26,x
,14,,,,VSA,,AB,30,x
,15,,,,VSA,,AB,32,
,21,,,,VSA,,AB,34,
,22,,,,VSA,,AB,36,
,23,,,,VSA,,AB,38,
,753,,,,VSH,,AP,1076,
,27,,,,VSA,,AB,46,x
,28,,,,VSA,,AB,48,x
,29,,,,VSA,,AB,50,x
,31,,,,VSA,,AB,54,
,1517,,,,VSN,,,2115,
,33,,,,VSA,,AB,60,
,34,,,,VSA,,AB,62,
,36,,,,VSA,,AB,66,
,37,,,,VSA,,AB,68,
,38,,,,VSA,,AB,70,
,24,,,,VSA,,AB,40,x
,41,,,,VSA,,AB,76,x
,42,,,,VSA,,AB,78,
,43,,,,VSA,,AB,80,
,40,,,,VSA,,AB,74,x
,51,,,,VSA,,AB,86,
,52,,,,VSA,,AB,88,
,54,,,,VSA,,AB,92,
,55,,,,VSA,,AB,94,x
,57,,,,VSA,,AB,98,
,1132,,,,VSL,,AX,1640,X
,59,,,,VSA,,AB,102,
,60 (B),,,,VSA,,AB,104,
,61,,,,VSA,,AB,106,
,62,,,,VSA,,AB,108,
,63,,,,VSA,,AB,110,x
,64,,,,VSA,,AB,112,
,65,,,,VSA,,AB,114,
,66,,,,VSA,,AB,116,
,2395,,,,VST,,,2995,x
,69,,,,VSA,,AB,122,
,71,,,,VSA,,AB,126,
,73,,,,VSA,,AB,130,
,74,,,,VSA,,AB,132,
,75,,,,VSA,,AB,134,
,82,,,,VSA,,AB,138,x
,83,,,,VSA,,AB,140,x
,84,,,,VSA,,AB,142,
,85,,,,VSA,,AB,144,x
,86,,,,VSA,,AB,146,
,87,,,,VSA,,AB,148,
,91,,,,VSA,,AB,156,
,92,,,,VSA,,AB,158,x
,94,,,,VSA,,AB,162,
,95,,,,VSA,,AB,164,x
,97,,,,VSA,,AB,168,
,98,,,,VSA,,AB,170,
,99,,,,VSA,,AB,172,
,101,,,,VSA,,AB,176,
,102,,,,VSA,,AB,178,
,104,,,,VSA,,AB,182,x
,105,,,,VSA,,AB,184,x
,111,,,,VSA,,AB,186,
,112,,,,VSA,,AB,188,
,113,,,,VSA,,AB,190,x
,114,,,,VSA,,AB,192,x
,118,,,,VSA,,AB,198,x
,119,,,,VSA,,AB,200,X
,120 (D),,,,VSA,,AB,202,
,121,,,,vsb,,AD,,
,122,,,,VSB,,AD,210,x
,125,,,,VSB,,AD,216,
